symbol_index,rank,letter,proximity,profile_proximity,final_score
8,7,ტ,0.6871549946109303,0.6871549946109303,0.6871549946109303
8,8,ც,0.680168920552606,0.680168920552606,0.680168920552606
8,9,წ,0.6704953470786199,0.6704953470786199,0.6704953470786199
8,10,ო,0.6452302947351912,0.6452302947351912,0.6452302947351912
8,11,დ,0.637884157623033,0.637884157623033,0.637884157623033
8,12,ხ,0.6286606885160635,0.6286606885160635,0.6286606885160635
8,13,გ,0.6273585381672051,0.6273585381672051,0.6273585381672051
8,14,მ,0.6269896720537176,0.6269896720537176,0.6269896720537176
8,15,ლ,0.6141384901819871,0.6141384901819871,0.6141384901819871
8,16,ყ,0.6003835309732537,0.6003835309732537,0.6003835309732537
8,17,ბ,0.5774938938579588,0.5774938938579588,0.5774938938579588
8,18,ა,0.5466871307450818,0.5466871307450818,0.5466871307450818
8,19,შ,0.5457343320356927,0.5457343320356927,0.5457343320356927
8,20,ი,0.5399425200138808,0.5399425200138808,0.5399425200138808
8,21,ს,0.5308584861393417,0.5308584861393417,0.5308584861393417
8,22,ვ,0.520316159255647,0.520316159255647,0.520316159255647
8,23,ჯ,0.5141625916593863,0.5141625916593863,0.5141625916593863
8,24,ე,0.5060001527734002,0.5060001527734002,0.5060001527734002
8,25,ჟ,0.4956483388524874,0.4956483388524874,0.4956483388524874
8,26,ძ,0.47697014110563063,0.47697014110563063,0.47697014110563063
8,27,უ,0.46511938126471797,0.46511938126471797,0.46511938126471797
8,28,ფ,0.43280106249639183,0.43280106249639183,0.43280106249639183
8,29,ჭ,0.4093061534421696,0.4093061534421696,0.4093061534421696
8,30,ჰ,0.3569221359993249,0.3569221359993249,0.3569221359993249
8,31,პ,0.31643686221546896,0.31643686221546896,0.31643686221546896
8,32,კ,0.3038649897895598,0.3038649897895598,0.3038649897895598
8,33,ქ,0.2820501112264979,0.2820501112264979,0.2820501112264979
